 job_role, income_status, investment_loss, investment_profit, gender_code, education_level,age_years, household_role, weekly_work_hours, family_status, sample_weight_index, education_score, annual_income_category, employment_category, country_origin, demographic_group
 Prof-specialty,standard,0,0, Female, Bachelors,37, Not-in-family,36, Divorced,328301,13, <=50K, Local-gov, United-States, White
 Transport-moving,standard,0,2907,?, Some-college,18, Own-child,30, Never-married,225859,10, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Male, Some-college,52, Not-in-family,40, Divorced,23780,10, <=50K,?, United-States, White
 Other-service,standard,0,0, Female, Some-college,47,?,45, Divorced,213745,10, <=50K, Self-emp-not-inc, United-States, White
 Exec-managerial,standard,0,0, Male, Bachelors,36, Husband,50,?,202950,13, <=50K, Self-emp-not-inc, Iran, White
 Prof-specialty,standard,0,15024, Male, Prof-school,44, Husband,80,?,116825,15, >50K, Private, United-States, White
 Adm-clerical,verified,0,0, Female, Some-college,29, Wife,40, Married-civ-spouse,221977,10, >50K, Private, United-States, White
 Handlers-cleaners,verified,0,0, Male, 11th,46, Husband,45, Married-civ-spouse,185291,7, >50K, Private, United-States, White
 Prof-specialty,standard,0,0, Female, Prof-school,53, Not-in-family,40, Never-married,340723,15, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Male, Doctorate,61, Husband,40, Married-civ-spouse,84409,16, >50K, Self-emp-not-inc, United-States, White
 Sales,standard,0,0, Female, Some-college,39, Not-in-family,40, Divorced,187089,10, <=50K, Private, United-States, White
 Other-service,standard,0,0, Female, 12th,24, Own-child,38, Never-married,177287,8, <=50K, Private, United-States, White
 Exec-managerial,verified,0,7298, Male, Bachelors,37, Husband,40, Married-civ-spouse,263094,13, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Some-college,22, Wife,44, Married-civ-spouse,124940,10, <=50K, Private, United-States, Amer-Indian-Eskimo
 Handlers-cleaners,standard,0,0, Male, HS-grad,20, Husband,48, Married-civ-spouse,189148,9, <=50K, Private, United-States, White
 Craft-repair,priority,0,0, Male, HS-grad,32, Not-in-family,40, Never-married,142675,9, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Bachelors,24, Not-in-family,35, Never-married,32950,13, <=50K, Local-gov, United-States, White
 Farming-fishing,standard,0,0, Male, Assoc-voc,63, Husband,40, Married-civ-spouse,117681,11, <=50K, Self-emp-not-inc, United-States, White
 Exec-managerial,standard,0,0, Female, Some-college,36, Unmarried,38, Divorced,199501,10, <=50K, Private, United-States, Black
 Adm-clerical,standard,0,0, Female, Some-college,26, Not-in-family,20, Never-married,124068,10, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, HS-grad,29, Husband,55, Married-civ-spouse,179008,9, <=50K,?, United-States, White
 Exec-managerial,standard,0,0, Female, HS-grad,39, Not-in-family,38, Divorced,388023,9, <=50K, Private, United-States, White
 Sales,standard,0,0, Female, HS-grad,20, Not-in-family,32, Never-married,184678,9, <=50K,?, United-States, White
 Prof-specialty,standard,0,0, Male, Some-college,28, Not-in-family,40, Divorced,109282,10, <=50K,?, United-States, White
 Other-service,standard,0,0, Female, HS-grad,37, Unmarried,40, Married-spouse-absent,286146,9, <=50K,?, United-States, Black
